rowID,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
325,3,9,"Week day lunch,Week day dinner,Weekend lunch",7,The Avengers,Nestea,Friends,A little (mild),Shawarma
326,4,5-7,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",7 - 10 CAD,Avengers,Lemon Mint Juice,"Parents,Siblings",A moderate amount (medium),Shawarma
327,3,11,"Week day lunch,Weekend dinner",11,Khabi Khushi Khabi Gham,Diet Coke,"Siblings,Friends",A moderate amount (medium),Shawarma
328,2,5,Week day lunch,$9,Mission: Impossible – Dead Reckoning Part One,Iced lemon tea,Strangers,None,Shawarma
329,2,7,"Week day lunch,Weekend lunch",$2,Avengers Endgame,Mineral water,Friends,A moderate amount (medium),Shawarma
330,2,3,"Week day lunch,Weekend lunch,Late night snack",10 dollars,3 Idiots,water,Friends,A little (mild),Shawarma
331,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12-14$ per wrap.,no movie,a can of soda,"Siblings,Friends",A lot (hot),Shawarma
332,4,12,"Week day lunch,Weekend lunch,Late night snack",10,The Avengers,Coke,"Parents,Friends",A moderate amount (medium),Shawarma
333,3,3,Week day lunch,6 cad,The Avengers,Coke,Friends,None,Shawarma
334,4,4,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",10,The Avengers,Water,Friends,A moderate amount (medium),Shawarma
335,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",7,None,Water,"Teachers,Strangers",A little (mild),Shawarma
336,2,10,"Week day lunch,Weekend lunch",8,None,"Water

Fruit juice/smoothie

Sparkling water

Soft drinks",Friends,A little (mild),Shawarma
337,3,10,Week day dinner,15 dollars,spiderman,orange juice,Parents,A little (mild),Shawarma
338,2,4,Week day lunch,$6,Dune,Juice,Strangers,None,Shawarma
339,3,5,"Week day lunch,Week day dinner,Weekend lunch",$5,Avengers,Orange Fanta,"Parents,Siblings",None,Shawarma
340,2,"Can vary on how much vegetables and sauces you want, but maybe 7-8 ingredients not including spices.","Week day lunch,Weekend lunch",In Toronto around $7-8 per shawarma.,Advengers 2012 Movie,Water or sprite,"Siblings,Friends",A moderate amount (medium),Shawarma
341,4,20,"Week day lunch,Weekend lunch",10,Parasite,Diet Coke,Strangers,A moderate amount (medium),Shawarma
342,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",10,The Avengers,Coke,Parents,A moderate amount (medium),Shawarma
343,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$13,Borat,Coke,"Friends,Strangers",A little (mild),Shawarma
344,4,15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$8,None come to mind,Water,"Friends,Strangers",A moderate amount (medium),Shawarma
345,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",15 dollars,i dont know,soda,Friends,A moderate amount (medium),Shawarma
346,3,10,"Week day lunch,Week day dinner",6,The Avengers,Lemonade,Friends,A little (mild),Shawarma
347,5,"1. Pita wrap

2. Meat 

3. Lettuce

4. Tomato

5. Onions

6. Sauce

 ","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$10,None,Water,"Friends,Teachers,Strangers",A lot (hot),Shawarma
348,3,7,Week day lunch,$12,Batman the dark knight ,Mango juice,Friends,A moderate amount (medium),Shawarma
349,5,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10,The Avengers,Coke,Friends,A lot (hot),Shawarma
350,3,"A variable number of ingredients, maybe around 6?","Week day lunch,Week day dinner,Weekend lunch",$11,I don't think of a movie when thinking of this food item,Water,"Friends,Strangers",A lot (hot),Shawarma
351,2,10,"Week day lunch,Weekend lunch",20,the avengers,water,"Parents,Friends,Teachers",A lot (hot),Shawarma
352,4,6-10 ingredients,At a party,15 dollars,The Avengers,sprite,Strangers,None,Shawarma
353,3,8,"Week day lunch,Weekend lunch,Late night snack",8 dollars,The mummy,Water,"Parents,Siblings,Strangers",A lot (hot),Shawarma
354,3,4 or more,"Week day lunch,Week day dinner,Late night snack",$7.00+,The Dictator,Beer,"Friends,Strangers",A little (mild),Shawarma
355,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",14,Taxi Driver,Nestea,"Siblings,Friends",A little (mild),Shawarma
356,4,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$8.00,The Dictator,Water,Friends,A little (mild),Shawarma
357,5,"I would expect it to have:

* A wrap

* Lettuce

* Beef or Chicken

* Sauce","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",I would expect to pay about $8 for one serving. This is based on how much I usually have to pay.,"I've never had them before attending U of T, so I don't associate them with anything.","I would pair it with water, since they often have a lot of fat and I wouldn't want to also take soft drinks on top of it.","Friends,Strangers",A moderate amount (medium),Shawarma
358,3,7,"Week day lunch,Week day dinner,Weekend lunch",12,Avengers,Iced Tea,"Parents,Friends,Strangers",A moderate amount (medium),Shawarma
359,3,15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10,none,Coke Zero,"Parents,Siblings,Friends",A moderate amount (medium),Shawarma
360,3,12,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$11.50,The Avengers,"Gingerale

 ","Siblings,Friends",A little (mild),Shawarma
361,2,6,"Week day lunch,Week day dinner,Late night snack",6 CAD,Deadpool & Wolverine,Diet coke,"Friends,Strangers",A moderate amount (medium),Shawarma
362,4,5 to 6,"Week day lunch,Week day dinner",$8 to $10,Not sure,Water,"Friends,Teachers,Strangers",A little (mild),Shawarma
363,4,Minimum of 10 ingredients,"Week day lunch,Weekend lunch,Late night snack",Around 10-20 dollars for one portion,The Avengers,Water,"Parents,Friends,Strangers",A moderate amount (medium),Shawarma
364,2,8,Week day lunch,16,The Avengers,water,Friends,None,Shawarma
365,4,4,Week day lunch,$10,Comedy movie,Water,Parents,None,Shawarma
366,2,6,"Week day lunch,Weekend lunch",13,The Avengers,Lemonade,Friends,A lot (hot),Shawarma
367,4,6,"Week day lunch,Week day dinner,Weekend lunch",8,Avengers,Water,"Parents,Siblings",A little (mild),Shawarma
368,2,"I would expect good 7-8 ingredients including veggies, flour, meat and any sauces. ",Week day lunch,It should be cheap maybe at max 12 bucks. ,Probably some niche movie or some movie specific to a country and not an English movie. ,Never personally had shawarma but I'd expect to pair it up with maybe a lemonade or ice tea?,"Parents,Teachers",A lot (hot),Shawarma
369,3,Around 8-10.,"Week day lunch,Week day dinner",$8-$12,Avengers,The Avengers,Friends,A moderate amount (medium),Shawarma
370,5,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10,Avengers,Coke Zero,Friends,A lot (hot),Shawarma
371,3,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",11,avengers,no drink,"Parents,Siblings,Friends",None,Shawarma
372,5,7-10,"Week day lunch,Weekend lunch",$10-15,You Don't Mess with the Zohan,Coke,"Parents,Siblings",A moderate amount (medium),Shawarma
373,2,5,"Week day lunch,Late night snack",10 dollars,Avengers endgame,Pop,Friends,A lot (hot),Shawarma
374,2,6,"Week day lunch,Weekend lunch",$9,Borat,Coke,"Friends,Strangers",A lot (hot),Shawarma
375,5,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$7,Avengers,Nestea,"Siblings,Friends",None,Shawarma
376,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,Avengers,Pepsi,Friends,A moderate amount (medium),Shawarma
377,3,6,"Week day lunch,Weekend lunch,Late night snack",5.99,Spider man spider verse,Water,Strangers,None,Shawarma
378,3,Minimum 4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",Between $6 and $9,Pulp fiction,Water,Strangers,A moderate amount (medium),Shawarma
379,2,"some type of meat, wheat flour, sauces, fries, veggie, pickles","Week day lunch,Late night snack",$8,squid game,soft drink,"Siblings,Friends",A little (mild),Shawarma
380,4,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",8,Star Wars,sprite ,Strangers,A little (mild),Shawarma
381,4,8,Week day lunch,$12,Aladdin,Sugarcane juice,Friends,None,Shawarma
382,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10 CAD,The Avengers ,Coke,"Siblings,Friends",A moderate amount (medium),Shawarma
383,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",14,Avengers,Fruit Juice,Friends,A moderate amount (medium),Shawarma
384,3,5,Week day lunch,$5,Alladin,Peach Green Tea,"Friends,Teachers",A little (mild),Shawarma
385,1,I would expect a lot of ingredients for this food item. The wrap and the fillings combined would total around 10 ingredients.,Week day lunch,I would expect to pay around $7 to $8 dollars for one serving of this food item at the food trucks.,The only movie that is associated with this food item would be the first Avengers due to the post credit scene.,I would pair this item with a ginger ale because that is the most frequent drink purchased with this food item.,Strangers,A lot (hot),Shawarma
386,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,Gladiator,Water,"Friends,Strangers",A moderate amount (medium),Shawarma
387,4,"I expect this food item to contain around 12 ingredients: the flatbread, around 5-6 veggies like tomatoes, lettuce, pickled beetroot, cucumber, pickles, carrots. Some meat, some cheese like feta, and lastly the sauces: hotsauce, garlic sauce (toum), hummus, and tzatziki. ","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I would expect to pay around $8-10. ,The Avengers movie when they eat shawarma in the end credits scene!,Maybe some mango lassi,Friends,A moderate amount (medium),Shawarma
388,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10,The Avengers,Soda,"Parents,Siblings,Friends",A little (mild),Shawarma
389,2,4,"Week day lunch,Weekend lunch",10,Avengers,water,Strangers,A little (mild),Shawarma
390,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",8,Iron Man,Soda,Strangers,A little (mild),Shawarma
391,2,9,"Week day dinner,Weekend dinner,Late night snack",15$,Any bollywood movie,I usually like water,Friends,None,Shawarma
392,3,4,"Week day lunch,Week day dinner,Late night snack",10,The Avengers,Sprite,Friends,None,Shawarma
393,4,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$9,The Avengers,Water,"Parents,Strangers",A moderate amount (medium),Shawarma
394,3,10,"Week day lunch,Weekend lunch,Late night snack",9,None,Diet Coke,Friends,A little (mild),Shawarma
395,3,6,"Week day lunch,Weekend lunch,At a party",$11,None,Soda,"Parents,Siblings",None,Shawarma
396,4,7,"Week day lunch,Weekend lunch",$6.00,None in particular,Pop,Friends,None,Shawarma
397,2,8-12,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",$7-10,Scott Pilgrim vs. the World,Soda,"Friends,Strangers",A moderate amount (medium),Shawarma
398,1,5,Week day lunch,10,Son of Babylon,Coke,Strangers,A moderate amount (medium),Shawarma
399,5,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",17,Avengers 1,Coke,Friends,A moderate amount (medium),Shawarma
400,4,Six.,"Week day lunch,Weekend lunch",I would pay $12.,The Avengers,Pepsi or Coca Cola,Friends,A little (mild),Shawarma
401,2,"7: wrap, protein/falafel, lettuce, tomato, cucumber, onion, sauce","Week day lunch,Weekend lunch",$10,avengers,pop,"Parents,Friends",A little (mild),Shawarma
402,3,6-9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",20,The Avengers,Pepsi,Strangers,A moderate amount (medium),Shawarma
403,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10,Avengers,Pepsi,Strangers,A little (mild),Shawarma
404,2,5,Week day lunch,20,"Cloudy With a Chance of Meatballs again? (Shawarmas don't appear in that though, but hey it's food)","Ayran Yogurt (actually I don't drink this after having tried it twice, but if we're talking about what I'd canonically pair it with). If we're talking about what I'd actually drink and pair it with, then just water",Strangers,None,Shawarma
405,3,8,Week day lunch,10,Avengers,lemonade,Friends,A little (mild),Shawarma
406,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10,Deadpool & Wolverine,Water,"Siblings,Friends,Strangers",A moderate amount (medium),Shawarma
407,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$16.99,The Avengers,Wine,Strangers,A moderate amount (medium),Shawarma
408,2,5,Week day lunch,10$,avengers,diet coke,Friends,A little (mild),Shawarma
409,3,6,"Week day lunch,Weekend lunch",7,avengers,coke,Friends,None,Shawarma
410,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",11,Bad Boys,Fanta,Friends,A lot (hot),Shawarma
411,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,-,Coke,Friends,A lot (hot),Shawarma
412,4,10,"Week day lunch,Weekend lunch,At a party",10,3 Idiots,Fanta,Friends,A lot (hot),Shawarma
413,4,2 ingredients ,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 - 15$,Avengers,"Pop, Coca-Cola, 7up, crush ","Parents,Siblings",A little (mild),Shawarma
414,2,about 8,Week day lunch,13 cad,The Avengers,Coke,Strangers,A little (mild),Shawarma
415,4,5-10,"Week day lunch,Week day dinner",7.99-15.99,The social network,Water,"Friends,Strangers",None,Shawarma
416,4,5,"Week day lunch,Week day dinner",7,The Avengers  ,coke,"Friends,Strangers",A moderate amount (medium),Shawarma
417,2,3 to 4,"Week day lunch,Weekend lunch,Late night snack",10,documenary,cola,"Siblings,Friends,Strangers",A little (mild),Shawarma
418,4,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10.00,Avengers,Coke,Friends,A moderate amount (medium),Shawarma
419,3,"12 (chicken/beef, flatbread, onion, pepper, pickle, sauce, spices for marinade)","Week day lunch,Weekend dinner,Late night snack",$7.50,The Avengers,ice tea,Friends,A little (mild),Shawarma
420,4,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$9,None,Diet Coke,"Parents,Siblings,Strangers",A lot (hot),Shawarma
421,5,7,"Week day lunch,Week day dinner",10,chef,Juice,Friends,A moderate amount (medium),Shawarma
422,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$7,Minions,Orange juice,"Friends,Strangers",A little (mild),Shawarma
423,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",9,The Big Sick,Sprite,"Parents,Siblings",A little (mild),Shawarma
424,4,10,"Week day dinner,Weekend dinner,Late night snack",14$,Jurassic Park,Water,"Friends,Strangers",A little (mild),Shawarma
425,4,20,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$13,Wicked,Sparkling water,Friends,A moderate amount (medium),Shawarma
426,3,7,Week day lunch,8,None,water,"Friends,Strangers",A lot (hot),Shawarma
427,2,6,Week day lunch,9 dollars,Aladdin,Iced tea,Friends,A little (mild),Shawarma
428,3,Six to seven.,"Week day lunch,Weekend lunch,Late night snack",$6,Marvel's Avengers,Coke/Coke Zero,"Friends,Strangers",A moderate amount (medium),Shawarma
429,3,7,"Week day lunch,Weekend lunch",10-15 dollar,no,water or lemon water,Friends,A moderate amount (medium),Shawarma
430,4,Around 8-10 ingredients,"Week day lunch,Weekend lunch,Late night snack",Around $8,The Avengers 1,Soft drinks such as Coca-Cola,Friends,A little (mild),Shawarma
431,5,8,"Week day lunch,Weekend lunch,Late night snack",12,Avengers,Mango Juice,"Siblings,Friends,Strangers",A lot (hot),Shawarma
432,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,None,Soda,Strangers,A moderate amount (medium),Shawarma
433,4,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",11,Avengers,pop,Friends,A moderate amount (medium),Shawarma
434,4,"meat, pita, onions","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",15$,i dont know,water,Strangers,A moderate amount (medium),Shawarma
435,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",7,The Avenger,coke,Siblings,A little (mild),Shawarma
436,4,15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$15,Avengers,Soda,"Friends,Strangers",A lot (hot),Shawarma
437,4,8,"Week day lunch,Weekend lunch,At a party",$10,Arcane,Ginger Ale,Friends,I will have some of this food item with my hot sauce,Shawarma
438,4,Around 6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$8,Avengers because of Iron Man asking everyone to get shawarma after the fight,Some type of soda,Friends,A moderate amount (medium),Shawarma
439,4,"5, 

lettuce, 

chicken

powder",Week day lunch,7 for 2,Bahen,crush/cola,Friends,A moderate amount (medium),Shawarma
440,3,6-9,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",$12,The Avengers,Soft drink,"Parents,Siblings,Friends",A lot (hot),Shawarma
441,2,6,Week day lunch,14 dollar without tax,"none, only thing I know about it is the game, shawarma legend.",cococola,Friends,A lot (hot),Shawarma
442,2,25 ingredients,"Week day lunch,Week day dinner",within 10 dollors,Legend of Shawama,Nestea,Friends,None,Shawarma
443,3,5,"Week day lunch,Weekend lunch,Late night snack",10,Aladdin,sprite,Strangers,None,Shawarma
444,2,8,"Week day lunch,Week day dinner",6,Avengers,Water,Strangers,A lot (hot),Shawarma
445,3,5,Week day lunch,10,Idk,Soda,"Friends,Strangers",A moderate amount (medium),Shawarma
446,4,6,Week day lunch,7,The Mummy,Water,"Friends,Strangers",A moderate amount (medium),Shawarma
447,2,7,"Week day lunch,Late night snack",8,The Kite Runner,Ayran,"Siblings,Friends",A little (mild),Shawarma
448,4,I would expect this food item to contain around 10 ingredients.,Week day lunch,I would expect to pay around $10 for a single serving of this food item.,I think of the movie The Avengers.,I would pair pop with this food item.,"Friends,Strangers",A moderate amount (medium),Shawarma
449,4,10,Week day lunch,$10,Marvel Avengers,Soda,Friends,A lot (hot),Shawarma
450,5,"Rice, Beef, Spice, Onion, Tomato, Lettuce. Total of 6",Week day lunch,14,Forest Gump,Coke-Cola,Strangers,None,Shawarma
451,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4.00,John Wick,Water,"Friends,Strangers",A little (mild),Shawarma
452,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",10,The Avengers,Water,"Parents,Strangers",A lot (hot),Shawarma
453,4,At least 5,"Week day lunch,Weekend lunch,Late night snack",8.50 CAD,Avengers,Soda,Friends,A little (mild),Shawarma
454,3,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Aladdin,diet coke,Strangers,A little (mild),Shawarma
455,1,8,"Week day lunch,Weekend lunch,Late night snack",$8,Ratatouille,Sprite,"Friends,Teachers",A little (mild),Shawarma
456,4,7,Week day lunch,5-10 dollars,Avengers ,pepsi,Friends,A little (mild),Shawarma
457,5,3,Week day lunch,8,Avengers,Jarritos,"Siblings,Friends",A little (mild),Shawarma
458,3,15,"Week day lunch,Week day dinner,Weekend lunch",10,The Avengers,Lassi,Friends,A little (mild),Shawarma
459,2,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$7,Star Wars,Soda,"Parents,Siblings,Friends",A little (mild),Shawarma
460,2,"7-10, depending on how many veggies you want inside","Week day lunch,Weekend lunch",7-10$ for one shawarma,"I think of movies that take place in Toronto since it's so common here, such as Scott Pilgrim vs The World",A fruit juice such as orange juice,"Friends,Strangers",A little (mild),Shawarma
461,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,The Avengers ,Water,"Parents,Siblings",A lot (hot),Shawarma
462,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",8,The avengers,Water,"Parents,Siblings",A lot (hot),Shawarma
463,3,8,"Week day lunch,Week day dinner,Weekend lunch",10,None,water,"Friends,Teachers",A moderate amount (medium),Shawarma
464,2,5,"Week day lunch,Weekend lunch",$7,Scott Pilgrim,Nestea,"Friends,Strangers",A moderate amount (medium),Shawarma
465,3,3-5,"Week day lunch,Week day dinner",~$15,The Avengers,carbonated drinks,Strangers,A moderate amount (medium),Shawarma
466,2,8,"Weekend dinner,Late night snack",18,"Shawarma Legend
---------------",cola,Friends,A moderate amount (medium),Shawarma
467,4,10,"Week day lunch,Late night snack",$5,Avengers,water,"Friends,Teachers",A lot (hot),Shawarma
468,4,6,"Week day lunch,Weekend lunch",10$,Rush Hour,Sprite,Teachers,A little (mild),Shawarma
469,3,7,Week day lunch,7 Bucks,Good Will Hunting,Root Beer,"Friends,Strangers",A little (mild),Shawarma
470,2,6,"Week day lunch,Weekend lunch",$8,Fight Club,Water,Friends,A little (mild),Shawarma
471,4,4,Week day dinner,10,Shawarma Bowl,pineapple juice,Friends,A little (mild),Shawarma
472,4,"7 - Pita Bread, Chicken, Lettuce, Pickle, Onion, Rice, Shawarma Sauce","Week day lunch,Week day dinner,Late night snack",$7.25 for one wrap,Drive,Water,"Friends,Strangers",A moderate amount (medium),Shawarma
473,3,6-7,"Week day lunch,Weekend lunch,Late night snack",8-12 dollars,Avengers ,"Water, Soda","Teachers,Strangers",A little (mild),Shawarma
474,4,8,"Week day lunch,Weekend lunch",10,Lion King,Coke,Friends,A moderate amount (medium),Shawarma
475,2,8,"Week day dinner,Weekend dinner",20,Captain of America,Water,Friends,A little (mild),Shawarma
476,4,15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",12,The Avengers,Water,"Friends,Strangers",A moderate amount (medium),Shawarma
477,3,7 (if we're talking about a shawarma wrap),"Week day lunch,Weekend lunch",$7,The Avengers,Water,"Friends,Strangers",A little (mild),Shawarma
478,4,8 to 10,"Week day lunch,Weekend lunch,Late night snack",$7 to $10,The Avengers,Nestea,Friends,A moderate amount (medium),Shawarma
479,2,8,"Week day lunch,Weekend lunch,Late night snack",$5,Avengers,Water,Friends,A moderate amount (medium),Shawarma
480,2,4,"Week day lunch,Weekend lunch",8,None,"juice, water or coke",Friends,A moderate amount (medium),Shawarma
481,4,12,"Week day lunch,Late night snack",10,The Avengers,Water,"Siblings,Friends,Strangers",A moderate amount (medium),Shawarma
482,2,5,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,Spirited Away,Miso soup,Friends,A little (mild),Sushi
483,3,"紫菜，米饭

rice, vege

salmon","Weekend dinner,At a party",6$ a pack,Japanese movies,Miso Soup,Friends,None,Sushi
484,2,4,At a party,5dollar,cartoon movie,cola,Parents,A little (mild),Sushi
485,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$15,Johnny English,Water,Parents,None,Sushi
486,5,3-10,"Week day lunch,Weekend lunch,Weekend dinner",$8,Karate Kid,Water,"Siblings,Friends",A moderate amount (medium),Sushi
487,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$15,None,None,"Siblings,Friends",None,Sushi
488,3,about 5,Weekend lunch,10 dollor,drange,coke,Friends,A moderate amount (medium),Sushi
489,2,3,"Week day dinner,Weekend dinner",30 dollar,The Truman Show,ice tea,Friends,A lot (hot),Sushi
490,5,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",15-30 dollars,None,None,"Parents,Friends",None,Sushi
491,4,10,Week day lunch,12,Kung fu panda,tea,"Friends,Strangers",A moderate amount (medium),Sushi
492,2,4,"Week day lunch,Weekend lunch,Late night snack",20,none,tea,Siblings,None,Sushi
493,5,11,"Week day dinner,Weekend dinner",16 Canadian Dollars,The Wolverine,Coca Cola,Friends,None,Sushi
494,5,5,"Week day dinner,Weekend lunch,Weekend dinner,At a party",$9,Spirited Away,soju,"Parents,Siblings,Friends",A little (mild),Sushi
495,1,"Around 4, such as rice, meat, vegetables, seafood.","Weekend lunch,Weekend dinner",30-100 CAD,Jiro Dreams of Sushi,Oolong tea,"Parents,Siblings,Friends",None,Sushi
496,4,4,"Week day lunch,Week day dinner,Weekend lunch",$15,Kill Bill,Sake,Teachers,A moderate amount (medium),Sushi
497,5,"5: Seaweed, Rice, Fish, Wasabi, Soy Sauce","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20,Finding Nemo,green tea,"Parents,Friends",None,Sushi
498,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12,Your Name,Tea,"Parents,Friends",A moderate amount (medium),Sushi
499,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",16,Once Upon a Time... in Hollywood,water,"Parents,Siblings,Friends,Strangers",None,Sushi
500,5,10,"Weekend lunch,Weekend dinner,At a party",$13 - $20 sadly,The Lord of the Rings: The Fellowship of the Ring,Iced tea,"Parents,Siblings,Friends",None,Sushi
501,2,4,"Weekend lunch,Weekend dinner,At a party",15 dollars,Transformer,Soup,Friends,None,Sushi
502,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",23,Cars,Green tea,"Friends,Strangers",None,Sushi
503,3,4,"Week day lunch,Weekend lunch,Weekend dinner,Late night snack",$5.00,Shark Tale,Root beer,"Siblings,Friends",None,Sushi
504,3,2,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$50,Bullet Train ,Sake,"Parents,Friends",None,Sushi
505,2,4-6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",20,Tokyo Story,Lemon water,"Siblings,Friends",A little (mild),Sushi
506,3,"Rice, nori, cucumber, salmon, avocado, crab, soy sauce","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","Sushi can cost quite a lot sometimes if it is an omakase restaurant. For regular sushi, one box of sushi costs around $15.",Jiro Dreams of Sushi,"Sake, beer",Friends,None,Sushi
507,2,3,"Week day dinner,Weekend dinner",20 CAD,Your Name,Sake,"Parents,Friends",None,Sushi
508,5,10,"Week day lunch,Weekend lunch",15,Harry Potter,Diet Coke,"Parents,Friends",None,Sushi
509,2,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",20,Jiro Dreams of Sushi,miso soup,"Parents,Friends",A moderate amount (medium),Sushi
510,4,Four,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$12,Isle of Dogs,Green tea,"Parents,Siblings",None,Sushi
511,3,2: rice and sashimi,"Week day dinner,Weekend dinner",CAD15-20,"Little Forest, a Japanese film",tea,"Parents,Friends",A moderate amount (medium),Sushi
512,3,"salmon, cucumber","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",30,Jiro Dreams of Sushi,Calpis,"Parents,Siblings",None,Sushi
513,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4 dollars,Doraemon,Miso Soup,"Parents,Siblings,Friends",None,Sushi
514,4,"5 (Nori, rice, cream cheese, cucumber and salmon)","Weekend lunch,Weekend dinner,At a party",$16-18,"""Naruto""",Tea,"Siblings,Friends",A little (mild),Sushi
515,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",5,rush hour,water,Siblings,None,Sushi
516,2,2,"Week day lunch,Weekend lunch,At a party",18,Jaws,Water,"Friends,Strangers",None,Sushi
